zcta,pop_estimate,black,blackz,poverty,povertyz,boro,arrests,pop_estimate_2010,blackz_2010,povertyz_2010,weighted_median_non_home_dwell_time,weighted_median_non_home_dwell_timez,complaintsSD,complaintsSD_rate,complaintsSD_rate_2010,complaintsSD_ratez,complaintsSD_ratez_2010,summons,sqf,sqfrate,sqfratez
10312,61741,1.28,-0.8234302032510454,5.87,-1.0774483540504567,Staten,16,59304,-0.8433436829293695,-1.106131933847151,NA,NA,224,362.80591503215044,0.003777148253068933,-0.5429961709487635,-0.5334021947753624,0,1171,1974.5716983677323,-0.9456841928134047
10314,90761,4.24,-0.7042020557461501,8.71,-0.7317527085888368,Staten,66,85510,-0.7048824779289825,-1.0342711167365954,9.82528514,-0.47997496816909446,365,402.1551106752901,0.004268506607414338,-0.4297323056572799,-0.40303603773695273,0,3078,3599.5789966085836,-0.6784743571615666
10451,47798,40.54,0.7579539423713149,29.88,1.8451405359261248,Bronx,70,45713,0.8027449186062636,1.6036631672898485,14.72246985,-0.3532408921507373,301,629.7334616511151,0.006584560190755365,0.2253358162416191,0.2114543896364672,3,5747,12571.916085139896,0.7969016128016132
10452,76078,33.19,0.4618975625872,31.95,2.0971088408928686,Bronx,42,75371,0.4427717809701666,2.1410799884939786,9.732246515,-0.4823827115709956,569,747.9166118983148,0.0075493226837908475,0.5655176214993274,0.4674231292733201,3,7005,9294.025553594884,0.25789813191445304
10453,79606,32.44,0.43168772791535154,34.62,2.422111437154321,Bronx,37,78309,0.36714436062872863,2.245507127332486,8.078125731,-0.5251896469016013,313,393.1864432329221,0.003996986297871254,-0.45554797798382685,-0.47507523072099755,1,8302,10601.591132564583,0.4729090945351933
10454,38203,31.7,0.40188069103912777,40.59,3.1488026355366703,Bronx,94,37337,0.3816688083983082,2.988463022688461,7.025425875,-0.5524324305569512,233,609.8997460932388,0.006240458526394729,0.1682458744916011,0.12015806544354896,4,6040,16176.982617778609,1.389704633897679
10455,42283,30.29,0.3450862018560527,34.08,2.3563805749890836,Bronx,81,39665,0.32784191400305013,2.189440982659613,13.01169938,-0.39751386277245204,281,664.5696852162807,0.007084331274423295,0.32560941189355047,0.3440525941861949,6,7962,20073.112315643517,2.0303689419114037
10456,94218,42.53,0.8381107037006196,34.24,2.3758563860010065,Bronx,67,86547,0.69579870730296145,2.331745050346055,9.751579515,-0.48188239352363677,405,429.854167993377,0.004679538285555825,-0.35000253620457555,-0.2939819841598226,14,13416,15501.403861485665,1.278615109171031
10457,74554,40.19,0.7438560195244522,32.55,2.170143132187577,Bronx,140,70496,0.6029659534095081,2.1875781005647057,10.33974712,-0.4666612241420952,434,582.1283901601523,0.006156377666817975,0.08830799860987755,0.09784991000756298,6,5302,7520.994098955969,-0.03365221626704987
10458,83960,19.88,-0.07422630338920386,30.37,1.9047852071501368,Bronx,32,79492,-0.049202711445172756,2.0588698920489126,14.40926476,-0.361346315988303,383,456.1696045736065,0.004818094902631712,-0.27425542078852405,-0.25722043621689655,2,6239,7848.588537211292,0.02021613010987001
10459,48351,34.44,0.5122472870402808,30.65,1.9388678764210006,Bronx,52,47308,0.33600964169845454,2.2143820015299744,9.344240986,-0.4924238934172546,319,659.7588467663544,0.0067430455736873255,0.31176175505519405,0.25350339549315104,10,10069,21283.926608607424,2.2294705019954915
10460,59505,30.31,0.345891797447302,31.37,2.0265090259746508,Bronx,29,57311,0.1797760718679411,2.260945389792707,8.139395182,-0.5236040568696834,324,544.4920594907991,0.005653364973565284,-0.020025506492978726,-0.03560835152592598,3,5109,8914.519027760814,0.19549356517392177
10461,50348,9.36,-0.4979695843863315,12.74,-0.2412057187260454,Bronx,35,50502,-0.5691407193649608,-0.22895686531281917,11.54154242,-0.4355600045785994,302,599.8252164932073,0.005979961189655855,0.13924705647657584,0.05104346423842721,3,2217,4389.9251514791495,-0.5485129309084984
10462,76756,28.28,0.2641238449354989,17.14,0.29437908410181635,Bronx,22,75784,0.21231615194721104,0.26475355788437943,6.48197063,-0.5664964902996366,311,405.1800510709261,0.004103768605510398,-0.4210252295433666,-0.44674397520555215,4,4465,5891.744959358176,-0.3015595636981128
10463,71360,15.08,-0.2675692452890339,15.82,0.1337036432534578,Bronx,22,67970,-0.2682380838921488,-0.040379755502743336,17.38019937,-0.2844616005842748,395,553.5313901345291,0.005811387376783875,0.005993564840570181,0.0063178175345887985,0,1492,2195.0860673826687,-0.9094236736347291
10464,4434,2.68,-0.7670385118635951,5.51,-1.121268928827282,Bronx,0,4534,-0.8074297755384787,-1.4108012250730089,13.32502452,-0.3894053321650324,144,3247.6319350473614,0.031760035288928096,7.7607706629061095,6.89095807801342,0,125,2756.9475077194534,-0.8170333789609603
10465,44205,12.75,-0.36142113166957646,11.77,-0.35927782298582406,Bronx,32,42230,-0.48024299152797717,-0.442764257118611,12.63020315,-0.407386590691987,209,472.79719488745616,0.004949088325834715,-0.22639408287174267,-0.22246553884055706,0,1735,4108.453705896282,-0.5947969930147449
10466,72479,73.09,2.069060767129538,16.84,0.25786193845446204,Bronx,57,67813,1.9857212643709337,0.3112223301282332,NA,NA,210,289.73909684184383,0.003096751360358633,-0.7533138182988705,-0.713923656106137,17,3557,5245.306947045552,-0.4078572986166886
10467,103732,35.28,0.5460823018727511,24.35,1.1720078178265625,Bronx,92,97060,0.5529244860363054,0.960698977213077,9.935320954,-0.47712735509300574,423,407.78159102302084,0.00435812899237585,-0.4135368815385746,-0.3792576165323014,9,9357,9640.428600865444,0.31485929229241894
10468,78647,21.02,-0.028307354687994186,26.74,1.4629277448171507,Bronx,41,76103,0.002881199321166282,1.4258210866186198,8.526475784,-0.5135868111776988,406,516.2307526034051,0.005334875103478181,-0.10137367140300646,-0.12010940875173012,3,8225,10807.721114804935,0.5068043014902559
10469,73870,54.29,1.3118009113552032,13.66,-0.1292198054074925,Bronx,25,66631,1.2410707378017412,-0.515132121572794,14.73120814,-0.35301475424197737,182,246.37877352105048,0.00273146133181252,-0.8781234297618625,-0.8108416321715889,3,2945,4419.864627575753,-0.5435898007195227
10470,15432,39.06,0.6983398686188674,10.89,-0.4663947835513963,Bronx,11,15293,0.4337988557028066,-0.6133301591808911,11.21347984,-0.44404992489293826,72,466.56298600311044,0.004708036356502975,-0.24433881042549663,-0.28642093638372984,3,1154,7545.936049172825,-0.029550859660530473
10471,21896,11.8,-0.3996869222539178,8.88,-0.7110596593886694,Bronx,1,22922,-0.5722023162136469,-0.8975463420343615,119.8958475,2.3685373595424677,108,493.24077457069785,0.0047116307477532504,-0.16754869054611582,-0.28546728011626876,0,175,763.4586859785359,-1.1448348731498286
10472,68796,27.36,0.2270664477380314,30.72,1.9473885437387166,Bronx,26,66358,0.23885580867920586,1.6074957560171068,7.841476091,-0.5313138948606857,261,379.3825222396651,0.003933210765845866,-0.4952815842830227,-0.4919960196924318,19,8659,13048.91648331776,0.8753376900678195
10473,59609,41.16,0.7829274057000428,23.74,1.0977562883436085,Bronx,50,58519,0.7569543704404685,0.8594611169380881,13.74692049,-0.3784871007524748,229,384.1701756446174,0.0039132589415403546,-0.48150066395014735,-0.49728959542511725,4,4996,8537.39811001555,0.13348127848408903
10474,12127,39.43,0.7132433870569792,37.09,2.7227692696508714,Bronx,11,12281,0.3766289960659631,2.2624761804914866,41.34029484,0.33560089256642306,154,1269.8936257936834,0.012539695464538718,2.067991388009556,1.7914582573254108,4,3005,24468.691474635616,2.7531607631791735
10475,43208,60.82,1.574827871898097,6.84,-0.9593762497906781,Bronx,7,40931,1.4356309794488211,-0.802967440990225,22.84776414,-0.1429666784545208,95,219.86669135345306,0.0023209792089125604,-0.9544365755364453,-0.9197498789169338,0,1241,3031.931787642618,-0.7718160409682929
11004,15234,6.6,-0.6091417759787338,4.45,-1.2502961767812668,Queens,0,14016,-0.596976587712763,-0.9075679604835143,14.68451483,-0.35422312881829365,25,164.10660364973086,0.001783675799086758,-1.11493802821142,-1.0623060806852749,0,185,1319.920091324201,-1.053332539080331
11101,30043,15.69,-0.24299857975593053,16.55,0.22256203099535307,Queens,42,25484,-0.1718134345510048,0.3145778020735075,18.60903744,-0.2526605420986471,475,1581.067137103485,0.018639146130905667,2.9636822424531357,3.40975157906806,1,4363,17120.546225082406,1.5448605379404763
11102,30800,9.62,-0.48749684170009067,14.65,-0.008713224771223601,Queens,62,34133,-0.47239281638214836,0.020515153629974164,11.21703036,-0.44395804110700193,270,876.6233766233765,0.007910233498374008,0.9359909037013142,0.5631792215727787,1,1833,5370.169630562798,-0.3873253679737866
11103,36140,2.66,-0.7678441074548443,10.48,-0.516301549269447,Queens,4,38780,-0.7691582359433632,-0.3940917488179788,7.503154041,-0.5400693196491019,425,1175.9822910902049,0.010959257349149047,1.7976742801412353,1.3721397666184354,3,1317,3396.0804538421867,-0.711936860515775
11104,26119,1.88,-0.7992623355135667,10.7,-0.4895223091280541,Queens,10,27232,-0.8260844946452996,-0.4472904669207928,7.01725942,-0.5526437699672572,165,631.7240323136415,0.006059048178613396,0.23106553253412665,0.07202665650727393,0,942,3459.165687426557,-0.7015633717835177
11105,37382,2.57,-0.7714692876154661,9.77,-0.6027254606348521,Queens,6,36688,-0.7903381705449429,-0.4841135249403418,8.939105867,-0.5029083713386627,432,1155.63640254668,0.011774967291757523,1.7391100848237868,1.5885621995239632,0,932,2540.340165721762,-0.8526514419191035
11106,38363,7.11,-0.5885990884018768,12.22,-0.30450210451479265,Queens,11,38875,-0.5664058320805022,0.15793305712815664,11.56632849,-0.4349185667187691,236,615.176081119829,0.006070739549839228,0.18343343016883215,0.07512858633861205,1,2224,5720.900321543409,-0.3296525868137023
11109,5981,4.55,-0.6917153240817862,6.63,-0.9849382517438262,Queens,0,3523,NA,NA,3.432432432,-0.6454153852755657,53,886.1394415649556,0.015043996593812092,0.9633822208561272,2.455894124555665,0,13,369.00369003690037,-1.2096975077679708
11201,62823,13.59,-0.3275861168371062,12.75,-0.23998848053780028,Brooklyn,34,51128,-0.3501645581032726,-0.40183273723455254,NA,NA,454,722.6652659057988,0.008879674542325145,0.49283341527404423,0.8203892644214087,4,5313,10391.56626506024,0.43837342790194944
11203,75451,89.03,2.7111204533552233,14.64,-0.009930462959468716,Brooklyn,42,76174,2.6169527495489073,-0.11279566638482741,13.79944196,-0.3771278994223752,273,361.8242302951585,0.0035839000183789747,-0.5458218807502483,-0.5846744067733636,0,5655,7423.792895213589,-0.04963560151416806
11204,76978,1.16,-0.8282637767985412,18.31,0.4367959521264975,Brooklyn,8,78134,-0.8550990954901457,0.4335027536195506,8.409061728,-0.5166253655267603,337,437.78741978227544,0.004313103130519364,-0.32716723430691474,-0.3912037827583592,1,1368,1750.838303427445,-0.9824740360076726
11205,46064,31.81,0.4063114667909989,25.53,1.315641924039489,Brooklyn,35,40366,0.37213147902877847,1.5885636912198067,115.1062055,2.244586377646848,368,798.888502952414,0.009116583263142249,0.7122365901502206,0.8832453840511575,4,4772,11821.830253183372,0.6735604363657596
11206,88349,26.49,0.19202303951868716,29.56,1.8061889139022802,Brooklyn,44,81677,0.12744865181007228,1.7170176868732225,NA,NA,622,704.0260783936434,0.007615362954075199,0.43918183767470526,0.48494479379903743,5,18375,22497.153421403822,2.4289687673920075
11207,91972,64.34,1.7166126959579726,25.66,1.3314660204866757,Brooklyn,64,93386,1.6781903844690547,1.4575127270648653,13.41557025,-0.3870621023077788,441,479.4937589701213,0.004722335253678282,-0.2071184987135946,-0.28262718329467235,3,20134,21559.976870194674,2.2748631258379985
11208,98660,54.39,1.3158288893114498,22.66,0.9662945640131336,Brooklyn,93,94469,1.261696300791035,1.4933624510962396,8.986434562,-0.5016835536556107,390,395.2969795256436,0.004128338396722734,-0.44947294914411345,-0.44022517028189195,8,13200,13972.83765044618,1.0272636681793637
11209,67809,3.06,-0.7517321956298585,12.19,-0.3081538190795282,Brooklyn,24,68853,-0.7825746372604034,-0.2784589621411028,7.846399553,-0.531186480755576,344,507.30728959282686,0.004996151220716599,-0.12705922598282118,-0.20997891133011695,1,1641,2383.3384166267265,-0.8784681946303995
11210,67040,58.58,1.4846011656781763,11.29,-0.41770525602159086,Brooklyn,35,62008,1.392919695307886,-0.32828596309248725,11.35307283,-0.44043740266763515,173,258.05489260143196,0.002789962585472842,-0.8445145501638822,-0.7953202035560408,0,3111,5017.094568442782,-0.445383648342118
11211,102624,6.44,-0.6155865407087281,19.3,0.5573025327627666,Brooklyn,43,90117,-0.6836692418841228,1.2959116189495061,NA,NA,471,458.9569691300281,0.005226538832850627,-0.2662321898564367,-0.14885295843331178,36,6239,6923.2220335785705,-0.13194751347566577
11212,76527,81.57,2.4106332978192375,35.28,2.502449157578501,Brooklyn,125,84500,2.4695744984118924,1.670238286596525,14.7442926,-0.35267614194807856,332,433.8338102891789,0.003928994082840236,-0.3385474184688059,-0.4931147810893464,33,23403,27695.857988165677,3.2838233852086236
11213,66295,67.6,1.847924777331607,21.49,0.8238776959884521,Brooklyn,86,63767,1.8328527923144027,0.8877011925832574,13.19019787,-0.3928945064401029,410,618.4478467456069,0.006429657973559992,0.19285097517951452,0.17035606171774764,4,8531,13378.393212790315,0.9295155530403572
11214,92946,1.47,-0.8157770451341773,14.44,-0.03427522672437165,Brooklyn,36,88630,-0.8392010446634266,0.018359956280070616,6.744758278,-0.5596958177233479,244,262.5180212166204,0.002753018165406747,-0.8316677513923448,-0.8051222187765734,7,2220,2504.7952160667946,-0.8584963142257316
