"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US3611552","ZCTA5 11552, New York","23616"
"8710000US3611553","ZCTA5 11553, New York","26034"
"8710000US3611554","ZCTA5 11554, New York","38132"
"8710000US3611556","ZCTA5 11556, New York","17"
"8710000US3611557","ZCTA5 11557, New York","7823"
"8710000US3611558","ZCTA5 11558, New York","8370"
"8710000US3611559","ZCTA5 11559, New York","8176"
"8710000US3611560","ZCTA5 11560, New York","6464"
"8710000US3611561","ZCTA5 11561, New York","37280"
"8710000US3611563","ZCTA5 11563, New York","22666"
"8710000US3611565","ZCTA5 11565, New York","8690"
"8710000US3611566","ZCTA5 11566, New York","35321"
"8710000US3611568","ZCTA5 11568, New York","4555"
"8710000US3611569","ZCTA5 11569, New York","1398"
"8710000US3611570","ZCTA5 11570, New York","26646"
"8710000US3611572","ZCTA5 11572, New York","30574"
"8710000US3611575","ZCTA5 11575, New York","16272"
"8710000US3611576","ZCTA5 11576, New York","12366"
"8710000US3611577","ZCTA5 11577, New York","12337"
"8710000US3611579","ZCTA5 11579, New York","5055"
"8710000US3611580","ZCTA5 11580, New York","40113"
"8710000US3611581","ZCTA5 11581, New York","20844"
"8710000US3611590","ZCTA5 11590, New York","45768"
"8710000US3611596","ZCTA5 11596, New York","10480"
"8710000US3611598","ZCTA5 11598, New York","13328"
"8710000US3611691","ZCTA5 11691, New York","60035"
"8710000US3611692","ZCTA5 11692, New York","18540"
"8710000US3611693","ZCTA5 11693, New York","11916"
"8710000US3611694","ZCTA5 11694, New York","20408"
"8710000US3611697","ZCTA5 11697, New York","4079"
"8710000US3611701","ZCTA5 11701, New York","27109"
"8710000US3611702","ZCTA5 11702, New York","14498"
"8710000US3611703","ZCTA5 11703, New York","16415"
"8710000US3611704","ZCTA5 11704, New York","40222"
"8710000US3611705","ZCTA5 11705, New York","8030"
"8710000US3611706","ZCTA5 11706, New York","62543"
"8710000US3611709","ZCTA5 11709, New York","6669"
"8710000US3611710","ZCTA5 11710, New York","34496"
"8710000US3611713","ZCTA5 11713, New York","10401"
"8710000US3611714","ZCTA5 11714, New York","22658"
"8710000US3611715","ZCTA5 11715, New York","4752"
"8710000US3611716","ZCTA5 11716, New York","10700"
"8710000US3611717","ZCTA5 11717, New York","60745"
"8710000US3611718","ZCTA5 11718, New York","3103"
"8710000US3611719","ZCTA5 11719, New York","3589"
"8710000US3611720","ZCTA5 11720, New York","29189"
"8710000US3611721","ZCTA5 11721, New York","6292"
"8710000US3611722","ZCTA5 11722, New York","35177"
"8710000US3611724","ZCTA5 11724, New York","3220"
"8710000US3611725","ZCTA5 11725, New York","29150"
"8710000US3611726","ZCTA5 11726, New York","19857"
"8710000US3611727","ZCTA5 11727, New York","29030"
"8710000US3611729","ZCTA5 11729, New York","28032"
"8710000US3611730","ZCTA5 11730, New York","14712"
"8710000US3611731","ZCTA5 11731, New York","30184"
"8710000US3611732","ZCTA5 11732, New York","3430"
"8710000US3611733","ZCTA5 11733, New York","18949"
"8710000US3611735","ZCTA5 11735, New York","32098"
"8710000US3611738","ZCTA5 11738, New York","17638"
"8710000US3611739","ZCTA5 11739, New York","1223"
"8710000US3611740","ZCTA5 11740, New York","9454"
"8710000US3611741","ZCTA5 11741, New York","27655"
"8710000US3611742","ZCTA5 11742, New York","13261"
"8710000US3611743","ZCTA5 11743, New York","42230"
"8710000US3611746","ZCTA5 11746, New York","67094"
"8710000US3611747","ZCTA5 11747, New York","19803"
"8710000US3611749","ZCTA5 11749, New York","3345"
"8710000US3611751","ZCTA5 11751, New York","14961"
"8710000US3611752","ZCTA5 11752, New York","9531"
"8710000US3611753","ZCTA5 11753, New York","12014"
"8710000US3611754","ZCTA5 11754, New York","18958"
"8710000US3611755","ZCTA5 11755, New York","12387"
"8710000US3611756","ZCTA5 11756, New York","42791"
"8710000US3611757","ZCTA5 11757, New York","45700"
"8710000US3611758","ZCTA5 11758, New York","53804"
"8710000US3611762","ZCTA5 11762, New York","22360"
"8710000US3611763","ZCTA5 11763, New York","28506"
"8710000US3611764","ZCTA5 11764, New York","13200"
"8710000US3611765","ZCTA5 11765, New York","737"
"8710000US3611766","ZCTA5 11766, New York","12635"
"8710000US3611767","ZCTA5 11767, New York","14530"
"8710000US3611768","ZCTA5 11768, New York","21902"
"8710000US3611769","ZCTA5 11769, New York","9506"
"8710000US3611770","ZCTA5 11770, New York","137"
"8710000US3611771","ZCTA5 11771, New York","10007"
"8710000US3611772","ZCTA5 11772, New York","44837"
"8710000US3611776","ZCTA5 11776, New York","24235"
"8710000US3611777","ZCTA5 11777, New York","8968"
"8710000US3611778","ZCTA5 11778, New York","12709"
"8710000US3611779","ZCTA5 11779, New York","38421"
"8710000US3611780","ZCTA5 11780, New York","15524"
"8710000US3611782","ZCTA5 11782, New York","15814"
"8710000US3611783","ZCTA5 11783, New York","21288"
"8710000US3611784","ZCTA5 11784, New York","24655"
"8710000US3611786","ZCTA5 11786, New York","6344"
"8710000US3611787","ZCTA5 11787, New York","35772"
"8710000US3611788","ZCTA5 11788, New York","16821"
"8710000US3611789","ZCTA5 11789, New York","7895"
"8710000US3611790","ZCTA5 11790, New York","18511"
"8710000US3611791","ZCTA5 11791, New York","25076"
"8710000US3611792","ZCTA5 11792, New York","8523"
"8710000US3611793","ZCTA5 11793, New York","32298"
"8710000US3611794","ZCTA5 11794, New York","3165"
"8710000US3611795","ZCTA5 11795, New York","26030"
"8710000US3611796","ZCTA5 11796, New York","4056"
"8710000US3611797","ZCTA5 11797, New York","9041"
"8710000US3611798","ZCTA5 11798, New York","15347"
"8710000US3611801","ZCTA5 11801, New York","39553"
"8710000US3611803","ZCTA5 11803, New York","28127"
"8710000US3611804","ZCTA5 11804, New York","5010"
"8710000US3611901","ZCTA5 11901, New York","27172"
"8710000US3611930","ZCTA5 11930, New York","1343"
"8710000US3611931","ZCTA5 11931, New York","151"
"8710000US3611932","ZCTA5 11932, New York","1398"
"8710000US3611933","ZCTA5 11933, New York","6844"
"8710000US3611934","ZCTA5 11934, New York","7263"
"8710000US3611935","ZCTA5 11935, New York","3304"
"8710000US3611937","ZCTA5 11937, New York","15398"
"8710000US3611939","ZCTA5 11939, New York","926"
"8710000US3611940","ZCTA5 11940, New York","5210"
"8710000US3611941","ZCTA5 11941, New York","1986"
"8710000US3611942","ZCTA5 11942, New York","4603"
"8710000US3611944","ZCTA5 11944, New York","4299"
